,Brand,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Garanti Süresi,Garanti Tipi,Kullanım Amacı,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,SSD Kapasitesi,Star,Çözünürlük,Çözünürlük Standartı,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi
43,Apple,3.0,0,13.0,DDR4,0.0,2.0,Marka Grantili,Ofis - İş,27469.0,8,4,256.0,5.0,2.0,4.0,2.0,M2,8.0,Mac Os
44,MSI,2.0,0,17.3,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,27695.25,16,4,512.0,4.5,1.0,2.0,11.0,Intel Core i7,8.0,Free Dos
45,HP,3.0,0,15.6,GDDR6,2.0,2.0,Resmi Distribütör Garantili,Ofis - İş,12899.0,8,10,512.0,5.0,1.0,2.0,12.0,Intel Core i5,10.0,Free Dos
46,ACER,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,17999.0,16,4,512.0,5.0,1.0,2.0,5.0,AMD Ryzen 5,6.0,Free Dos
47,LENOVO,3.0,0,14.0,DDR4,0.0,2.0,Marka Grantili,Ofis - İş,8399.0,8,4,256.0,0.0,1.0,2.0,11.0,Intel Core i3,2.0,Free Dos
48,HP,3.0,0,14.0,SD,0.0,2.0,Resmi Distribütör Garantili,Ofis - İş,11969.99,16,4,512.0,4.75,1.0,2.0,5.0,AMD Ryzen 7,8.0,Free Dos
49,ASUS,2.0,0,15.6,GDDR6,6.0,2.0,Resmi Distribütör Garantili,Oyun,29999.0,16,8,512.0,5.0,1.0,2.0,6.0,AMD Ryzen 7,8.0,Free Dos
50,ACER,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,19799.0,16,8,512.0,0.0,1.0,2.0,6.0,AMD Ryzen 7,8.0,Free Dos
51,Dell,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,22221.0,16,4,512.0,5.0,1.0,2.0,11.0,Intel Core i7,8.0,Free Dos
52,HP,2.0,0,15.6,GDDR6,4.0,2.0,Marka Grantili,Oyun,21499.0,16,4,512.0,5.0,1.0,2.0,12.0,Intel Core i5,12.0,Free Dos
53,ASUS,2.0,0,15.6,GDDR6,4.0,2.0,Marka Grantili,Oyun,20299.0,16,4,512.0,5.0,1.0,2.0,4.0,AMD Ryzen 5,6.0,Free Dos
54,ASUS,3.0,0,15.6,GDDR6,4.0,2.0,Marka Grantili,Oyun,18555.67,16,4,512.0,4.64,1.0,2.0,5.0,AMD Ryzen 5,6.0,Free Dos
55,ASUS,3.0,0,13.3,DDR,0.0,2.0,Resmi Distribütör Garantili,Ofis - İş,14453.01,8,7,512.0,4.71,1.0,2.0,10.0,Intel Core i5,4.0,Free Dos
56,Apple,3.0,0,13.0,DDR4,0.0,2.0,Marka Grantili,Ofis - İş,27319.0,8,4,256.0,5.0,2.0,4.0,2.0,M2,8.0,Mac Os
57,ASUS,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,23999.0,16,4,512.0,4.84,1.0,2.0,4.0,AMD Ryzen 7,8.0,Free Dos
58,ASUS,3.0,0,15.6,GDDR6,4.0,2.0,Marka Grantili,Tasarım,17799.0,16,9,512.0,4.71,1.0,2.0,12.0,Intel Core i5,12.0,Free Dos
59,ASUS,3.0,0,15.6,GDDR6,4.0,2.0,İthalatçı Garantili,Oyun,22406.25,16,4,512.0,4.53,1.0,2.0,11.0,Intel Core i7,8.0,Free Dos
60,ASUS,3.0,0,15.6,SD,0.0,2.0,Resmi Distribütör Garantili,Ofis - İş,16488.54,24,4,1024.0,4.53,1.0,2.0,10.0,Intel Core i7,4.0,Free Dos
61,ASUS,3.0,0,15.6,GDDR6,6.0,2.0,Resmi Distribütör Garantili,Oyun,33999.0,16,8,1024.0,4.2,2.0,3.0,6.0,AMD Ryzen 7,8.0,Free Dos
62,LENOVO,3.0,0,14.0,DDR4,8.0,2.0,Marka Grantili,Oyun,8315.01,4,4,256.0,4.54,1.0,2.0,11.0,Intel Core i3,1.0,Windows
63,HP,2.0,0,16.1,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,18599.0,8,8,512.0,4.77,1.0,2.0,6.0,AMD Ryzen 5,6.0,Free Dos
64,MSI,2.0,0,17.3,GDDR6,6.0,2.0,Resmi Distribütör Garantili,Oyun,35999.0,16,4,512.0,5.0,1.0,2.0,12.0,Intel Core i7,4.0,Free Dos
65,Dell,3.0,0,15.6,DDR4,0.0,2.0,Marka Grantili,Ev - Okul,11991.51,16,4,512.0,5.0,1.0,2.0,5.0,AMD Ryzen 5,6.0,Windows
66,ASUS,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,25399.0,16,4,1024.0,4.25,1.0,2.0,4.0,AMD Ryzen 7,8.0,Free Dos
67,HP,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,23699.0,16,4,512.0,5.0,1.0,2.0,11.0,Intel Core i7,4.0,Free Dos
68,HP,3.0,0,15.6,GDDR5,2.0,2.0,Resmi Distribütör Garantili,Oyun,12929.0,8,4,512.0,4.64,1.0,2.0,11.0,Intel Core i5,4.0,Free Dos
69,Dell,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,26767.0,16,8,512.0,5.0,1.0,2.0,11.0,Intel Core i7,8.0,Diğer
70,ACER,3.0,0,14.0,GDDR5,0.0,2.0,Resmi Distribütör Garantili,Oyun,14775.38,16,4,512.0,4.75,1.0,2.0,11.0,Intel Core i7,4.0,Windows
